instrument,collection,technique,dynamic,midi,note,register,metric,value,ci_low,ci_high,rel_uncertainty,source_file
Violin,_15_,ordinario,fortissimo,62,D4,High,EWSD_score_acoustic_balanced,21.11490599212985,13.55805506874059,30.76016305152006,0.2033196809654936,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,63,D#4,High,EWSD_score_acoustic_balanced,23.36109569346641,15.0882469108104,38.65287733339112,0.2498939005997806,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,64,E4,High,EWSD_score_acoustic_balanced,25.18350524311853,15.93188677529494,36.60704165750283,0.2167211120573101,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,65,F4,High,EWSD_score_acoustic_balanced,22.55502107192219,14.14927708666487,32.50565503230406,0.2141906907959596,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,66,F#4,High,EWSD_score_acoustic_balanced,21.34900814385912,13.49196418761411,31.10201852793464,0.2161926416916673,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,67,G4,High,EWSD_score_acoustic_balanced,23.92183082286441,14.19086373281069,33.21830177602381,0.2120342327825986,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,68,G#4,High,EWSD_score_acoustic_balanced,18.37398899514533,9.522850032571792,25.22218225657579,0.2295176569733182,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,69,A4,High,EWSD_score_acoustic_balanced,13.20709887280472,7.224337306677329,22.81938005548677,0.308511384183821,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,70,A#4,High,EWSD_score_acoustic_balanced,14.65251853424027,8.384658222158604,22.04148937040302,0.2365496095289245,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,71,B4,High,EWSD_score_acoustic_balanced,14.96132436340469,8.315399346797774,23.95209831016808,0.2773458664524689,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,72,C5,Very high,EWSD_score_acoustic_balanced,11.80925534755644,6.46445269295418,18.12938427027754,0.24842382794357,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,73,C#5,Very high,EWSD_score_acoustic_balanced,13.93216528784372,7.407260876076184,23.18486777748128,0.2995966480667501,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,74,D5,Very high,EWSD_score_acoustic_balanced,14.32106527588732,8.524597540354096,22.66889182657035,0.2588668713514021,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
